city,timestamp,temperature,season
New York,2010-01-01,-3.790755992680064,winter
New York,2010-01-02,-2.104974316879156,winter
New York,2010-01-03,-3.9336366238532383,winter
New York,2010-01-04,-6.091601942707494,winter
New York,2010-01-05,0.5148501003295984,winter
New York,2010-01-06,-1.7468376138042427,winter
New York,2010-01-07,-2.6919907714680495,winter
New York,2010-01-08,1.0839039990660613,winter
New York,2010-01-09,5.485979871738462,winter
New York,2010-01-10,-7.992011816286027,winter
New York,2010-01-11,-1.7971744577169246,winter
New York,2010-01-12,8.998319966375155,winter
New York,2010-01-13,-4.131257169241875,winter
New York,2010-01-14,3.7467523440626054,winter
New York,2010-01-15,-8.027932688551456,winter
New York,2010-01-16,-9.919202303609714,winter
New York,2010-01-17,0.9121997567258916,winter
New York,2010-01-18,-0.6391210362317085,winter
New York,2010-01-19,0.628433319676812,winter
New York,2010-01-20,0.615356126485165,winter
New York,2010-01-21,-1.8640649023076852,winter
New York,2010-01-22,5.663534448747699,winter
New York,2010-01-23,7.0134122009239945,winter
New York,2010-01-24,-0.9534001027766565,winter
New York,2010-01-25,5.478896289545482,winter
New York,2010-01-26,1.7478474273938929,winter
New York,2010-01-27,-5.162127455265591,winter
New York,2010-01-28,-1.595565497774698,winter
New York,2010-01-29,1.1296976656321966,winter
New York,2010-01-30,-4.998350183539982,winter
New York,2010-01-31,10.088062787379574,winter
New York,2010-02-01,1.7378285958818154,winter
New York,2010-02-02,-4.593803471958612,winter
New York,2010-02-03,-0.24635414478352313,winter
New York,2010-02-04,-6.260220279867845,winter
New York,2010-02-05,0.23636936451352644,winter
New York,2010-02-06,2.7024020646991955,winter
New York,2010-02-07,3.023982231528844,winter
New York,2010-02-08,-0.6114467012101095,winter
New York,2010-02-09,-1.6983516649295076,winter
New York,2010-02-10,-3.0090828304631065,winter
New York,2010-02-11,5.817342206150374,winter
New York,2010-02-12,4.613275203241972,winter
New York,2010-02-13,-3.3633831315067484,winter
New York,2010-02-14,-0.5519051081242264,winter
New York,2010-02-15,4.935843610017806,winter
New York,2010-02-16,-1.8334549146530552,winter
New York,2010-02-17,-4.831100029180405,winter
New York,2010-02-18,5.560485320492012,winter
New York,2010-02-19,4.747964659863553,winter
New York,2010-02-20,1.9954940340881964,winter
New York,2010-02-21,-7.1779796173088055,winter
New York,2010-02-22,-0.017409282568514185,winter
New York,2010-02-23,-6.9803819238756635,winter
New York,2010-02-24,-2.1896933406564187,winter
New York,2010-02-25,15.509664295932087,winter
